"ID";"ENSEIGNE";"NUMERO ET LIBELLE DE VOIE";"COMPLEMENT";"CODE POSTAL";"COMMUNE"
6350;"Le Voltaire";"18 rue voltaire";;"29200";"BREST"
6351;"Le Cafe De La Place";"70 rue jules guesde";;"29200";"BREST"
6352;"L'effet Mer";"36 quai de la douane";;"29200";"BREST"
6353;"Tabac";"5 rue de la réunion";;"29200";"BREST"
6354;"Tabac";"121 rue jean jaures";;"29200";"BREST"
6355;"Tabac";"57 rue de la porte";;"29200";"BREST"
6356;"Le Flash";"85 rue du général gallieni";;"29200";"BREST"
6357;"Tabac";"29 rue louis pasteur";;"29200";"BREST"
6358;"Le Narval";"33 rue saint marc";;"29200";"BREST"
6359;"Tabac";"28 rue algesiras";;"29200";"BREST"
6360;"Tabac";"31 rue navarin";;"29200";"BREST"
6361;"L'equipage";"6 rue du 2ème r.i.c.";;"29200";"BREST"
6362;"Le Nemrod";"13 rue de l'harteloire";;"29200";"BREST"
6363;"La Chope";"25 avenue clemenceau";;"29200";"BREST"
6364;"Tabac";"98 avenue de l ecole navale";;"29200";"BREST"
6365;"Bar Brasserie La Presqu'ile";"10 quai de la douane";;"29200";"BREST"
6366;"Le Penalty";"35 route de quimper";;"29200";"BREST"
6367;"Le Siam";"31 rue de siam";;"29200";"BREST"
6368;"Le Central";"41 rue de lyon";;"29200";"BREST"
6369;"Le Lac Celtique";"51 rue de lyon";;"29200";"BREST"
6370;"Tabac";"16 rue de la porte";;"29200";"BREST"
6371;"Le Pacha";"2 rue bouillon";;"29200";"BREST"
6372;"Le Campanella";"6 rue danton";;"29200";"BREST"
6373;"Le Django";"22 rue franchet d esperey";;"29200";"BREST"
6374;"Le Marco";"103 rue de siam";;"29200";"BREST"
6375;"Tabac";"42 rue y collet";;"29200";"BREST"
6376;"Le Centre";"27 rue jean jaures";;"29200";"BREST"
6377;"Tabac";"66 rue de la porte";;"29200";"BREST"
6378;"Tabac - Gare Sncf";"8 place du 19éme régiment d'infanterie ";;"29200";"BREST"
6379;"Quai12";"12 rue jules guesde";;"29200";"BREST"
6380;"Tabac";"2 rue francois fouquat";;"29200";"BREST"
6381;"La Rotonde";"61 rue guynemer";;"29200";"BREST"
6382;"Au Xviii";"18 rue de la victoire";;"29510";"BRIEC"
6383;"Tabac";"1 avenue du gal de gaulle";;"29890";"BRIGNOGAN-PLAGE"
6384;"La Chaloupe";"7 place charles de gaulle";;"29570";"CAMARET-SUR-MER"
6385;"Les Ondes";"1 ave des français libres -creachcaouet";;"29660";"CARANTEC"
6386;"La Maison Du Fumeur";"13 rue brizeux";;"29270";"CARHAIX-PLOUGUER"
6387;"Le Glenn";"6 rue des martyrs";;"29270";"CARHAIX-PLOUGUER"
6388;"Le Longchamp";"46 rue victor hugo";;"29270";"CARHAIX-PLOUGUER"
6389;"Le Welcome";"48 avenue du general de gaulle";;"29270";"CARHAIX-PLOUGUER"
6390;"Tabac";"8 place du marche";;"29150";"CHATEAULIN"
6391;"Le Vincennes";"16 quai carnot";;"29150";"CHATEAULIN"
6392;"Tabac";"12 qu charles de gaulle";;"29150";"CHATEAULIN"
6393;"L'arlequin";"1 quai cosmao";;"29150";"CHATEAULIN"
6394;"Le Chiquito";"13 place de la resistance";;"29520";"CHATEAUNEUF-DU-FAOU"
6395;"Chez Jeannine";"le bourg";;"29770";"CLEDEN-CAP-SIZUN"
6396;"Chez Yann";"3. place de l'eglise";;"29270";"CLEDEN-POHER"
6397;"Le Stered Mor";"6 rue de l armorique";;"29233";"CLEDER"
6398;"Les Embruns";"1 place du port kerfissien";;"29233";"CLEDER"
6399;"Cafe De La Plage";"6 rue des grands sables - le pouldu";;"29360";"CLOHARS-CARNOET"
6400;"Le Drennec";"45 route de la chapelle - le drennec";;"29950";"CLOHARS-FOUESNANT"
6401;"La Tabatiere";"2 rue de la forge";;"29870";"COAT-MEAL"
6402;"Soni's Bar";"7 place de l'eglise";;"29530";"COLLOREC"
6403;"Le Sirocco";"bourg";;"29120";"COMBRIT"
6404;"Le Voltigeur";"2 rue neuve";;"29900";"CONCARNEAU"
6405;"La Coursive";"76 avenue de la gare";;"29900";"CONCARNEAU"
6406;"Le Cabestan";"3 avenue du docteur nicolas";;"29900";"CONCARNEAU"
6407;"Les Embruns";"11 rue dumont d urville";;"29900";"CONCARNEAU"
6408;"Le Jean Bart";"2 avenue alain le lay";;"29900";"CONCARNEAU"
6409;"Tabac";"13 rue de courcy";;"29900";"CONCARNEAU"
6410;"Le Grand Bleu";"8 rue des sables blancs";;"29900";"CONCARNEAU"
6411;"Les Glenan";"le poteau vert";;"29900";"CONCARNEAU"
6412;"Les Caves Conquetoises";"18 rue poncelin";;"29217";"CONQUET"
6413;"Le Bistroquet";"1 rue de la fontaine";"Morgat-tabac";"29160";"CROZON"
6414;"Tabac";"35 quai du fret";;"29160";"CROZON"
6415;"Le Calypso";"11 rue de poulpatre";;"29160";"CROZON"
6416;"Cafe De La Forge Chez Dan Et Dd";"1 route de brest";"Tal Ar Groas";"29160";"CROZON"
6417;"Tabac";"9 rue de reims";;"29160";"CROZON"
6418;"Tabac";"3 rue de l eglise";;"29460";"DIRINON"
6419;"Le Balto";"8 rue eugene kerivel";;"29100";"DOUARNENEZ"
6420;"L'oceanide";"23 qu du grand port";;"29100";"DOUARNENEZ"
6421;"La Civette";"36 rue duguay trouin";;"29100";"DOUARNENEZ"
6422;"Tabac";"1 place j le gouil";;"29100";"DOUARNENEZ"
6423;"Le Ponant";"12 rue jean jaures";;"29100";"DOUARNENEZ"
6424;"Le Drugstore";"41 quai de l yser";;"29100";"DOUARNENEZ"
6425;"La Marine";"3 quai de l yser";;"29100";"DOUARNENEZ"
6426;"Tabac";"38 rue des sables blancs";;"29100";"DOUARNENEZ"
6427;"Tabac";"59 rue jean jaures";;"29100";"DOUARNENEZ"
6428;"Tabac";"69 rue louis pasteur";;"29100";"DOUARNENEZ"
6429;"Tabac";"place de l eglise";;"29860";"DRENNEC"
6430;"Le Calypso";"1 rue du puits";;"29510";"EDERN"
6431;"La Bascule";"2 rue pierre loti";;"29370";"ELLIANT"
6432;"Le P'tit Ergue";"7 avenue georges pompidou";;"29000";"QUIMPER"
6433;"Tabac";"14 b avenue de la liberation";;"29000";"QUIMPER"
6434;"Tabac";"128 avenue de la liberation";;"29000";"QUIMPER"
6435;"Le Dean";"63 rue le dean";;"29000";"QUIMPER"
6436;"Tabac";"38 rue tour d auvergne";;"29000";"QUIMPER"
6437;"Le Club";"place de l eglise";;"29500";"ERGUE-GABERIC"
6438;"Tabac";"lestonan";;"29500";"ERGUE-GABERIC"
6439;"Bar Les Capistes";"36 rue laennec";;"29770";"ESQUIBIEN"
6440;"Le Cafe Du Centre";"5 place aux foires";;"29580";"FAOU"
6441;"Le Donegal";"7 route de landerneau";;"29580";"FAOU"
6442;"O'temps Libre";"bourg";;"29690";"FEUILLEE"
6443;"Tabac";"15 rue de la croix rouge";;"29260";"FOLGOET"
6444;"Cafe De La Gare";"la gare";;"29800";"FOREST-LANDERNEAU"
6445;"L'escale";"beg menez";;"29940";"FORET-FOUESNANT"
6446;"--";"29 rue des glenan";"Beg Meil Tabac";"29170";"FOUESNANT"
6447;"Tabac";"bourg";;"29610";"GARLAN"
6448;"Le Colibri";"8 route de benodet";;"29950";"GOUESNACH"
6449;"Tabac";"13 rue de la gare";;"29850";"GOUESNOU"
6450;"Le Royal";"7 place des fusilles";;"29850";"GOUESNOU"
6451;"Tabac";"bourg";;"29770";"GOULIEN"
6452;"A Coté";"le bourg";;"29890";"GOULVEN"
6453;"Le Bunny";"7 place de la mairie";;"29180";"GUENGAT"
6454;"Tabac";"14 rue du dr quere";;"29650";"GUERLESQUIN"
6455;"Le Divin";"6 place de l eglise";;"29410";"GUICLAN"
6456;"Le Flash";"57 rue charles de gaulle";;"29820";"GUILERS"
6457;"La Taverne Des Renards";"10 hent kreiz ar vourc'h - le bourg";;"29710";"GUILER-SUR-GOYEN"
6458;"Tabac";"bourg";;"29620";"GUIMAEC"
6459;"Tabac";"12 rue de brest";;"29490";"GUIPAVAS"
6460;"Le Triskell";"18 rue de paris";;"29490";"GUIPAVAS"
6461;"Au Bon Passage";"bourg";;"29290";"GUIPRONVEL"
6462;"L'oasis";"19 rue du croissant";;"29670";"HENVIC"
6463;"La Gabare";"62 rue emile salaun";;"29460";"HOPITAL-CAMFROUT"
6464;"Tabac";"12 place a briand";;"29690";"HUELGOAT"
6465;"Tabac";"le venoc";;"29253";"ILE-DE-BATZ"
6466;"Le Malamock";"9 place de la cale";;"29980";"ILE-TUDY"
6467;"Le Connemara";"2 route de landerneau";;"29460";"IRVILLAC"
6468;"Le Senior";"7 avenue de la france libre";;"29000";"QUIMPER"
6469;"Tabac De L'hippodrome";"57 avenue des sports";"Kerfeunteun -tabac-";"29000";"QUIMPER"
6470;"Halle Dis";"21 rue sebastien le balp";;"29270";"KERGLOFF"
6471;"Tabac";"16 rue cote des legendes";;"29890";"KERLOUAN"
6472;"L'hermine";"2 rue de l'if le bourg";;"29260";"KERNILIS"
6473;"Le Tennessy";"bourg";;"29260";"KERNOUES"
6474;"La Gargoulette";"1 route de plabennec";;"29860";"KERSAINT-PLABENNEC"
6475;"Tabac";"2 place des ffi";;"29200";"BREST"
6476;"Tabac";"22 rue de glasgow";;"29200";"BREST"
6477;"Tabac";"47 rue a kervern";;"29200";"BREST"
6478;"Le Score";"3 place des ffi";;"29200";"BREST"
6479;"Le Bacchus";"249 rue jean jaures";;"29200";"BREST"
6480;"Tabac";"127 rue de robespierre";;"29200";"BREST"
6481;"Le Reinitas";"157 rue du general paulet";;"29200";"BREST"
6482;"Tabac";"64 bis rue du cdt drogou";;"29200";"BREST"
6483;"La Vilette";"52 rue robespierre";;"29200";"BREST"
6484;"Le Paris Dakar";"87 rue albert louppe";;"29200";"BREST"
6485;"Tabac";"4 place de l eglise";;"29400";"LAMPAUL-GUIMILIAU"
6486;"Tabac";"2 place de l eglise";;"29400";"LAMPAUL-GUIMILIAU"
6487;"L'asterie";"bourg";;"29830";"LAMPAUL-PLOUDALMEZEAU"
6488;"Le Divalo";"1 place de l'europe";;"29870";"LANDEDA"
6489;"Cafe Du Port";"180 ar palud";;"29870";"LANDEDA"
6490;"Tabac";"bourg";;"29530";"LANDELEAU"
6491;"Tabac";"47 rue fontaine blanche";;"29800";"LANDERNEAU"
6492;"Le Celtic";"30 rue fontaine blanche";;"29800";"LANDERNEAU"
6493;"Le Saint Thomas";"2 place saint thomas";;"29800";"LANDERNEAU"
6494;"Tabac";"6 rue de brest";;"29800";"LANDERNEAU"
6495;"Tabac";"46 qu du leon";;"29800";"LANDERNEAU"
6496;"Le Broceliande";"15 rue amiral romain desfosses";;"29800";"LANDERNEAU"
6497;"La Cascade";"3 rue de la tour d'auvergne";;"29800";"LANDERNEAU"
6498;"Le Narval";"12 place du general de gaulle";;"29800";"LANDERNEAU"
6499;"La Bascule";"48 rue herve de guebriant";;"29800";"LANDERNEAU"
6500;"Tabac";"gare sncf vestibule";;"29800";"LANDERNEAU"
6501;"Tabac";"12 rue general mangin";;"29400";"LANDIVISIAU"
6502;"Le Brazza";"24 rue du general de gaulle";;"29400";"LANDIVISIAU"
6503;"Tabac";"1 rue joseph pinvidic";;"29400";"LANDIVISIAU"
6504;"Tabac";"6 place per briand";;"29510";"LANDUDAL"
6505;"--";"18 bd de l'océan";"Port D'argenton - Tabac";"29840";"LANDUNVEZ"
6506;"Tabac";"12 route de quimper";;"29510";"LANGOLEN"
6507;"Le Kanastell";"grand place";;"29430";"LANHOUARNEAU"
6508;"L'auberge De La Mer";"28 route de l'aber ildut";;"29840";"LANILDUT"
6509;"Tabac";"2 rue du couvent";;"29870";"LANNILIS"
6510;"L'armoric Cafe";"9 rue du docteur morvan";;"29870";"LANNILIS"
6511;"Tabac";"1 rue du rouz";;"29900";"CONCARNEAU"
6512;"Le Suffren";"102 rue de tregunc";;"29900";"CONCARNEAU"
6513;"Tabac";"bourg";;"29290";"LANRIVOARE"
6514;"Tabac";"bourg";;"29520";"LAZ"
6515;"Lennon's Bar";"3 place de l'eglise";;"29190";"LENNON"
6516;"Tabac";"19 rue saint esprit";;"29260";"LESNEVEN"
6517;"Tabac";"2 rue de la marne";;"29260";"LESNEVEN"
6518;"Tabac";"12 place du general leflo";;"29260";"LESNEVEN"
6519;"Tabac";"16 place du general leflo";;"29260";"LESNEVEN"
6520;"Ty Monig";"7 place de l'eglise";;"29390";"LEUHAN"
6521;"Le Fun Board";"place de la mairie";;"29280";"LOCMARIA-PLOUZANE"
6522;"Tabac";"5 place de la liberte";;"29670";"LOCQUENOLE"
6523;"Tabac";"place du port";;"29241";"LOCQUIREC"
6524;"Le Neptune";"34 rue du port";;"29750";"LOCTUDY"
6525;"Tabac";"bourg";;"29460";"LOGONNA-DAOULAS"
6526;"Le Pegase";"9 rue saint salomon";;"29800";"MARTYRE"
6527;"Le Carillon";"74 rue pen ar bed";;"29790";"CONFORT-MEILARS"
6528;"Tabac";"141 rue du general de gaulle";;"29290";"MILIZAC"
6529;"Tabac";"kergroes";;"29350";"MOELAN-SUR-MER"
6530;"Tabac";"brigneau";;"29350";"MOELAN-SUR-MER"
6531;"Cafe De La Place";"11 place de l eglise";;"29350";"MOELAN-SUR-MER"
6532;"Tabac";"20 rue de brest";;"29600";"MORLAIX"
6533;"Haut Cent Marches";"89 bis rue gambetta";;"29600";"MORLAIX"
6534;"Tabac";"14 rue albert legrand";;"29600";"MORLAIX"
6535;"Tabac";"21 place salvator allende";;"29600";"MORLAIX"
6536;"Tabac";"31 rue de ploujean";;"29600";"MORLAIX"
6537;"Tabac";"44 rue de paris";;"29600";"MORLAIX"
6538;"Le Celtique";"3 place des otages";;"29600";"MORLAIX"
6539;"Le Fer A Cheval ";"7 place des jacobins";;"29600";"MORLAIX"
6540;"La Gauloise";"54 rue basse";;"29600";"MORLAIX"
6541;"Le Calypso";"29 place du general de gaulle";;"29600";"MORLAIX"
6542;"Tabac";"gare sncf vestibule";;"29600";"MORLAIX"
6543;"La Madeleine";"4 bellevue de la madeleine";;"29600";"MORLAIX"
6544;"Tabac";"9 rue de la pierre bleue";;"29270";"MOTREFF"
6545;"Le Rocher";"43 rue ar mor port manech";;"29920";"NEVEZ"
6546;"Tabac";"le bourg";;"29242";"OUESSANT"
6547;"L'express";"le bourg";;"29800";"PENCRAN"
6548;"Tabac";"17 rue du moulin vert";;"29000";"QUIMPER"
6549;"Le Calumet";"1 avenue des girondins";;"29000";"QUIMPER"
6550;"Le Nosy Sun";"23 route de pont l'abbe";;"29000";"QUIMPER"
6551;"La Route Du Cap";"3 rue de la terre noire";;"29000";"QUIMPER"
6552;"Tabac";"189 route de pont l abbe";;"29000";"QUIMPER"
6553;"Le Doris";"55 quai du general de gaulle";"Kerity";"29760";"PENMARCH"
6554;"Cafe De La Cale";"328 rue lucien le lay";;"29760";"PENMARCH"
6555;"Le Diabolo";"22 place general de gaulle";;"29860";"PLABENNEC"
6556;"Au Relais Du Moulin";"33 moulin du pont";;"29170";"PLEUVEN"
6557;"Le Central Bar";"20 rue de la gare";;"29190";"PLEYBEN"
6558;"L'antre-potes";"14 place de l eglise";;"29410";"PLEYBER-CHRIST"
6559;"A L'escale";"6 rue du port";;"29740";"PLOBANNALEC-LESCONIL"
6560;"Le Bana";"29 rue de pont l abbe";;"29740";"PLOBANNALEC-LESCONIL"
6561;"Le Barazin";"place de la mairie";;"29550";"PLOEVEN"
6562;"Le Butunn";"8 rue du centre";;"29180";"PLOGONNEC"
6563;"Tabac";"st albin";;"29180";"PLOGONNEC"
6564;"Ti Castel";"7 hent traon ar vorc'h";;"29700";"PLOMELIN"
6565;"La Luciole";"15 rue louis mehu";;"29120";"PLOMEUR"
6566;"Bar Tabac Le Saint Andre";"43 rue laënnec";;"29710";"PLONEIS"
6567;"Le Wyllis";"1 rue rene le berre";;"29720";"PLONEOUR-LANVERN"
6568;"Le Pronostic";"17 rue des freres floch";;"29530";"PLONEVEZ-DU-FAOU"
6569;"Ty Per March";"9 place de l eglise";;"29550";"PLONEVEZ-PORZAY"
6570;"L'eden Rock";"1 route de trezien";;"29810";"PLOUARZEL"
6571;"Tabac";"19 rue henri provostic";;"29830";"PLOUDALMEZEAU"
6572;"Le Triskell";"9 rue de brest";;"29830";"PLOUDALMEZEAU"
6573;"Le Recif";"34 rue du port";"Portsall";"29830";"PLOUDALMEZEAU"
6574;"Le Why Not";"35 rue general de gaulle";;"29260";"PLOUDANIEL"
6575;"Le Campanella";"39 rue general de gaulle";;"29260";"PLOUDANIEL"
6576;"Tabac";"bourg";;"29800";"PLOUDIRY"
6577;"Debit De Tabac";"2 route de la laiterie";;"29800";"PLOUEDERN"
6578;"Tabac";"bourg";;"29620";"PLOUEGAT-GUERAND"
6579;"Le Toultankhamon";"31 rue colonel de soyer";;"29420";"PLOUENAN"
6580;"La Gitane";"23 rue general leclerc";;"29430";"PLOUESCAT"
6581;"Tabac";"4 rue general leclerc";;"29430";"PLOUESCAT"
6582;"Le Macareux";"2 route de barnenez";;"29252";"PLOUEZOC'H"
6583;"Tabac";"13 rue francois charles";;"29630";"PLOUGASNOU"
6584;"Tabac";"kernouster";;"29630";"PLOUGASNOU"
6585;"O Fraisia";"14 rue de l eglise";;"29470";"PLOUGASTEL-DAOULAS"
6586;"Tabac";"place de l eglise";;"29217";"PLOUGONVELIN"
6587;"Cap Ouest";"131 rue saint yves";;"29217";"PLOUGONVELIN"
6588;"Tabac";"saint eutrope";;"29640";"PLOUGONVEN"
6589;"Le Tito";"2 rue de la montagne";;"29640";"PLOUGONVEN"
6590;"Le Gwen Ha Du";"5 rue de la mer";;"29250";"PLOUGOULM"
6591;"Tabac";"bourg";;"29400";"PLOUGOURVEST"
6592;"Les Mouettes";"6 place de l eglise";;"29880";"PLOUGUERNEAU"
6593;"Le Sulky";"18 rue de la republique";"Poulgoazec Tabac";"29780";"PLOUHINEC"
6594;"Le Celtic";"3 rue general de gaulle";;"29780";"PLOUHINEC"
6595;"Tabac";"1 rue de la mairie";;"29260";"PLOUIDER"
6596;"Tabac";"20 rue du 9 aout";;"29610";"PLOUIGNEAU"
6597;"Le Cafe Des Sports";"12 rue du pont coz";;"29600";"MORLAIX"
6598;"Le Cap Horn";"66 rue de ploujean";;"29600";"MORLAIX"
6599;"La Mi Temps";"1 place du gal de gaulle";;"29810";"PLOUMOGUER"
6600;"Tabac";"la caserne";;"29410";"PLOUNEOUR-MENEZ"
6601;"Tabac";"3 rue de la poste";;"29890";"PLOUNEOUR-TREZ"
6602;"Tabac";"11 place de l eglise";;"29400";"PLOUNEVENTER"
6603;"Tabac";"bourg";;"29430";"PLOUNEVEZ-LOCHRIST"
6604;"Tabac";"craos aoter";;"29830";"PLOURIN"
6605;"Tabac";"8 rue tanguy prigent";;"29600";"PLOURIN-LES-MORLAIX"
6606;"Auberge Du Cheval Blanc";"1 rue tanguy prigent";;"29600";"PLOURIN-LES-MORLAIX"
6607;"Auberge De La Vallée";"le fume";;"29600";"PLOURIN-LES-MORLAIX"
6608;"Le Kelling's";"15 rue de la libération";;"29860";"PLOUVIEN"
6609;"Le Bistro Des Moulins";"tariec";;"29860";"PLOUVIEN"
6610;"Tabac";"4 rue general de reals";;"29420";"PLOUVORN"
6611;"Ty Anna";"bourg";;"29690";"PLOUYE"
6612;"Le Margouya";"29 route de brest";;"29280";"PLOUZANE"
6613;"Tabac";"1 rue de saint renan";;"29280";"PLOUZANE"
6614;"Le Galopin";"1 place de la mairie";;"29440";"PLOUZEVEDE"
6615;"Tabac";"5 rue du centre";;"29710";"PLOZEVET"
6616;"Le Bovaro";"1 impasse du stade";;"29700";"PLUGUFFAN"
6617;"Tabac";"3 rue saint yves ";;"29930";"PONT-AVEN"
6618;"Tabac";"11 rue e bernard";;"29930";"PONT-AVEN"
6619;"Tabac";"1 rue de la liberte";;"29790";"PONT-CROIX"
6620;"Tabac";"bourg";;"29650";"PONTHOU"
6621;"Le Marigny";"28 place gambetta";;"29120";"PONT-L'ABBE"
6622;"Hall De La Presse";"23 rue general de gaulle";;"29120";"PONT-L'ABBE"
6623;"L'entracte";"6 place du pont guern";;"29120";"PONT-L'ABBE"
6624;"Penn Ar Pont";"13 rue victor hugo";;"29120";"PONT-L'ABBE"
6625;"Le Keravel";"7 rue de l'europe";;"29840";"PORSPODER"
6626;"La Vieille Cave";"1 quai jacques pouliquen";;"29150";"PORT-LAUNAY"
6627;"Tabac";"1 place de l eglise";;"29100";"POULDERGAT"
6628;"Tabac";"3 place de l eglise";;"29100";"POULLAN-SUR-MER"
6629;"Le Rencard";"2 avenue du general de gaulle";;"29246";"POULLAOUEN"
6630;"Tabac";"bourg";;"29770";"PRIMELIN"
6631;"Tabac";"2 place de l'eglise";;"29180";"QUEMENEVEN"
6632;"Tabac";"35 rue saint luc";;"29590";"PONT-DE-BUIS-LES-QUIMERCH"
6633;"Le Chapeau Rouge";"16 rue du chapeau rouge";;"29000";"QUIMPER"
6634;"Tabac";"13 avenue de la gare";;"29000";"QUIMPER"
6635;"L'arvorig";"5 rue aristide briand";;"29000";"QUIMPER"
6636;"Tabac";"1 place st mathieu";;"29000";"QUIMPER"
6637;"Tabac";"84 quai de l odet";;"29000";"QUIMPER"
6638;"Le Railway";"18 place alexandre masse";;"29000";"QUIMPER"
6639;"Le Quetzal";"3 rue elie freron";;"29000";"QUIMPER"
6640;"Le Gallia";"2 bis place de la tourbie";;"29000";"QUIMPER"
6641;"Le Monaco";"3 rue de douarnenez";;"29000";"QUIMPER"
6642;"Tabac";"8 place du 118 eme ri";;"29000";"QUIMPER"
6643;"Le Steir";"9 place terre au duc";;"29000";"QUIMPER"
6644;"Tabac";"20 place saint corentin";;"29000";"QUIMPER"
6645;"Tabac";"57 rue jean jaures";;"29000";"QUIMPER"
6646;"Tabac";"gare s.n.c.f. vestibule";;"29000";"QUIMPER"
6647;"Tabac";"176 rue de quimper";;"29300";"QUIMPERLE"
6648;"Le Chiquito";"1 place guthiern";;"29300";"QUIMPERLE"
6649;"Bar Tabac De L'europe";"34 bis boulevard de la gare";;"29300";"QUIMPERLE"
6650;"Tabac";"3 rue de la paix";;"29300";"QUIMPERLE"
6651;"Le Bon Numéro";"13 rue du bourgneuf";;"29300";"QUIMPERLE"
6652;"Cafe Des Halles";"8 place hervo";;"29300";"QUIMPERLE"
6653;"Tabac";"5 bd leopold maissin";;"29480";"RELECQ-KERHUON"
6654;"Le Baladin";"6 rue carnot";;"29480";"RELECQ-KERHUON"
6655;"--";"47 rue des voiliers";"Rosbras";"29340";"RIEC-SUR-BELON"
6656;"Kastell Roch";"bourg";;"29800";"ROCHE-MAURICE"
6657;"Tabac";"4 rue saint pol roux";;"29570";"ROSCANVEL"
6658;"Le Sailor";"2 rue ropartz morvan";;"29680";"ROSCOFF"
6659;"Le Sulky";"26 rue hippolyte le bas";;"29140";"ROSPORDEN"
6660;"Maison De La Presse";"3 place du boulouard";;"29140";"ROSPORDEN"
6661;"Le Didgeridoo";"17 le bourg";;"29440";"SAINT-DERRIEN"
6662;"L'etrier";"2 rue streat nevez";;"29800";"SAINT-DIVY"
6663;"Restaurant Breton";"bourg";;"29260";"SAINT-FREGANT"
6664;"Le Fournil";"2 rue jean hervé";;"29520";"SAINT-GOAZEC"
6665;"Chez Boulou";"4 rue du centre";;"29270";"SAINT-HERNIN"
6666;"Le Petit Saint Jean";"place pere robert le meur";;"29630";"SAINT-JEAN-DU-DOIGT"
6667;"Birinik Café";"bourg";;"29120";"SAINT-JEAN-TROLIMON"
6668;"Le Deauville";"135 rue de verdun";;"29200";"BREST"
6669;"Le Pont Neuf";"138 rue de paris";"Brest St Marc-tabac-";"29200";"BREST"
6670;"Tabac";"25 rue du moulin blanc";;"29200";"BREST"
6671;"Tabac";"49 rue de verdun";;"29200";"BREST"
6672;"Aux Ecluses";"8 allee saint francois";;"29600";"SAINT-MARTIN-DES-CHAMPS"
6673;"La Barriere";"5 place de la barriere";;"29600";"SAINT-MARTIN-DES-CHAMPS"
6674;"Le Saint Martin";"13 route de brest";;"29600";"SAINT-MARTIN-DES-CHAMPS"
6675;"La Bourgade";"bourg";;"29260";"SAINT-MEEN"
6676;"Le Transat";"pentrez - chemin des dunes";;"29550";"SAINT-NIC"
6677;"Tabac";"77 rue du bourg";;"29830";"SAINT-PABU"
6678;"L'ariel";"237 rue anatole france";;"29200";"BREST"
6679;"--";"2840 route de ste anne du portzic";"La Maison Blanche - Tabac";"29200";"BREST"
6680;"Open Bar";"83 rue anatole france";;"29200";"BREST"
6681;"Le Brigantin";"610 rue de normandie";"Anse Saupin";"29200";"BREST"
6682;"Le Maryland";"167 rue anatole france";;"29200";"BREST"
6683;"Le Beaumanoir";"3 rue beaumanoir";;"29200";"BREST"
6684;"Bar De L'eveche";"2 place de leveche";;"29250";"SAINT-POL-DE-LEON"
6685;"Le Leo";"8 rue pen al liorzou";;"29250";"SAINT-POL-DE-LEON"
6686;"L'hermine";"12 place au lin";;"29250";"SAINT-POL-DE-LEON"
6687;"Le Bounty";"1 rue corre";;"29250";"SAINT-POL-DE-LEON"
6688;"Tabac";"24 rue pen ar pont";;"29250";"SAINT-POL-DE-LEON"
6689;"Tabac";"29 rue saint yves";;"29290";"SAINT-RENAN"
6690;"Iroise Video";"3 place leon cheminant";;"29290";"SAINT-RENAN"
6691;"Le Havane";"6 place du quartier maître lannuzel";;"29290";"SAINT-RENAN"
6692;"Le Rapid";"3 place de l'eglise";;"29590";"SAINT-SEGAL"
6693;"Lux Cafe";"8 rue andre corvez";;"29600";"SAINTE-SEVE"
6694;"Bar Tabac Du Loup";"2 place de l'eglise";;"29410";"SAINT-THEGONNEC"
6695;"Le P'tit Bouchon";"5 place de l'eglise";;"29800";"SAINT-URBAIN"
6696;"Le Clin D'oeil";"bourg";;"29440";"SAINT-VOUGAY"
6697;"Le Marigny";"130 rue yves le morvan";;"29250";"SANTEC"
6698;"Le Fontenoy";"le dossen";;"29250";"SANTEC"
6699;"Tabac";"38 rue jean jaures";;"29390";"SCAER"
6700;"Tabac";"76 rue jean jaures";;"29390";"SCAER"
6701;"La Chope";"coadry";;"29390";"SCAER"
6702;"La 3ème Mi Temps";"bourg";;"29640";"SCRIGNAC"
6703;"Tabac";"bourg";;"29250";"SIBIRIL"
6704;"L'entracte";"2 rue du docteur corre";;"29450";"SIZUN"
6705;"Le Schelton";"3 rue du general de gaulle";;"29540";"SPEZET"
6706;"Au Gre Du Vent";"6 place de la mairie";;"29670";"TAULE"
6707;"Tabac";"1 rue du 8 mai 1945";;"29730";"TREFFIAGAT"
6708;"Tabac";"103 avenue du port";;"29730";"TREFFIAGAT"
6709;"Ar Menez";"place general de gaulle";;"29430";"TREFLEZ"
6710;"Le Celtic";"6 place francois morvan";;"29260";"TREGARANTEC"
6711;"Triwen";"1 rue de la mairie";;"29870";"TREGLONOU"
6712;"Tabac";"1 place de l'église";;"29970";"TREGOUREZ"
6713;"Tabac";"10 place de l eglise";;"29910";"TREGUNC"
6714;"Bar Tabac Des Etangs";"855 route de la pointe de trevignon";;"29910";"TREGUNC"
6715;"Tabac";"bourg";;"29800";"TREMAOUEZAN"
6716;"Le Casino";"bel air";;"29300";"TREMEVEN"
6717;"Le Relais";"20 grande rue";;"29720";"TREOGAT"
6718;"Maison De La Presse";"2 rue de quimper";;"29590";"PONT-DE-BUIS-LES-QUIMERCH"
6719;"Tabac";"bourg";;"29560";"ARGOL"
6720;"Tabac";"19 rue auguste brizeux";;"29300";"ARZANO"
6721;"Yec Hed Mad";"17 rue victor hugo";;"29770";"AUDIERNE"
6722;"Tabac";"110 rue de la gare";;"29380";"BANNALEC"
6723;"Tabac";"1 avenue de la mer";;"29950";"BENODET"
