"ID";"ENSEIGNE";"NUMERO ET LIBELLE DE VOIE";"COMPLEMENT";"CODE POSTAL";"COMMUNE"
80;"Tabac";"le bourg";;"01380";"DOMMARTIN"
81;"Tabac";"7 place de la mairie";;"01240";"DOMPIERRE-SUR-VEYLE"
82;"Tabac";"place de l'hotel de ville";;"01590";"DORTAN"
83;"Tabac";"25 place de la babilliere";;"01500";"DOUVRES"
84;"Tabac";"259 route de fléchères";;"01480";"FAREINS"
85;"Tabac";"770 grande rue";;"01570";"FEILLENS"
86;"Tabac";"134 place du carouge";;"01340";"FOISSIAT"
87;"Tabac";"rue gagères";;"01480";"FRANS"
88;"Restaurant De La Place";"le village";;"01140";"GARNERANS"
89;"Chez Sandrine";"le village";;"01090";"GENOUILLEUX"
90;"Tabac";"48 rue de geneve";;"01170";"GEX"
91;"Les Quatre Vents - Tabac";"23 route de bâgé ";;"01190";"GORREVOD"
92;"Tabac";"41 rue gustave lambert";;"01290";"GRIEGES"
93;"Auberge De La Calonne";"le village";;"01090";"GUEREINS"
94;"Tabac";"le village";;"01250";"HAUTECOURT-ROMANECHE"
95;"Tabac Le Havane";"274 rue de la republique";;"01110";"HAUTEVILLE-LOMPNES"
96;"Tabac Des Colonnes";"424 grande rue";;"01580";"IZERNORE"
97;"Tabac";"349 rue du beaujolais";;"01480";"JASSANS-RIOTTIER"
98;"Tabac";"258 rue charles robin";;"01250";"JASSERON"
99;"Bar Des Bambanes";"379 route de bourg";;"01340";"JAYAT"
100;"Tabac";"place de l hotel de ville";;"01640";"JUJURIEUX"
101;"Chez Yann Et Val Chamousset";"24 rue pasteur";;"01150";"LAGNIEU"
102;"Tabac Bp 30004";"place de la liberte";;"01150";"LAGNIEU"
103;"Tabac Presse La Valserine";"le village";;"01410";"LELEX"
104;"Tabac";"le bourg";;"01240";"LENT"
105;"Tabac";"le bourg";;"01560";"LESCHEROUX"
106;"Tabac";"2 rue de la mairie";;"01150";"LEYMENT"
107;"Tabac";"88 place de la gare";;"01680";"LHUIS"
